Sample,Bulk Density,Moisture,Sand,Silt,Clay,pH,EC,OM,TN,CEC,Location,Depth,SOCC,SOCD ,SOC Stock ,Lat,Long,Latitude,Longitude
S-1,1.77,26.41,17.0,60.0,23.0,7.69,0.147,0.99,0.05,3.47,Sara,20,0.57,0.0101,20.178,24.11283333,89.03008333,23.8554,89.5796
S-2,1.67,29.65,2.0,65.0,33.0,7.98,0.164,2.11,0.04,2.97,Sara,40,1.22,0.0204,40.748,24.11283333,89.03008333,23.8554,89.5796
S-3,1.53,36.97,2.0,67.5,30.5,8.02,0.161,2.04,0.03,2.38,Sara,60,1.19,0.0182,36.414,24.11283333,89.03008333,23.8554,89.5796
S-4,1.49,34.45,9.5,70.0,30.5,8.12,0.164,1.78,0.03,1.88,Sara,80,1.03,0.0153,30.694,24.11283333,89.03008333,23.8554,89.5796
S-5,1.67,24.38,59.5,25.0,15.5,8.41,0.092,1.38,0.02,0.69,Sara,100,0.8,0.0134,26.72,24.11283333,89.03008333,23.8554,89.5796
R-1,1.73,26.19,4.5,52.5,43.0,8.08,0.262,1.88,0.12,9.91,Ruppur,20,1.09,0.0189,37.714,24.08097222,89.04863889,24.08097222,89.04863889
R-2,1.59,28.55,9.5,57.5,33.0,8.24,0.151,0.49,0.09,6.54,Ruppur,40,0.29,0.0046,9.222,24.08097222,89.04863889,24.08097222,89.04863889
R-3,1.64,28.29,14.5,57.5,28.0,8.39,0.126,0.23,0.06,3.96,Ruppur,60,0.13,0.0021,4.264,24.08097222,89.04863889,24.08097222,89.04863889
R-4,1.54,30.98,7.0,60.0,33.0,8.07,0.138,0.46,0.02,1.58,Ruppur,80,0.28,0.0043,8.624,24.08097222,89.04863889,24.08097222,89.04863889
R-5,1.56,29.99,9.0,58.0,33.0,8.3,0.139,0.53,0.02,0.79,Ruppur,100,0.31,0.0048,9.672,24.08097222,89.04863889,24.08097222,89.04863889
P-1,1.63,24.95,2.5,69.5,28.0,8.15,0.158,0.69,0.08,5.94,Pakuria,20,0.4,0.0065,13.04,24.04297222,89.05422222,23.6,89.7794
P-2,1.64,25.36,4.5,50.0,45.5,8.2,0.188,0.76,0.05,3.76,Pakuria,40,0.44,0.0072,14.432,24.04297222,89.05422222,23.6,89.7794
P-3,1.4,10.98,54.5,30.0,15.5,8.48,0.06,0.36,0.03,2.38,Pakuria,60,0.21,0.0029,5.88,24.04297222,89.05422222,23.6,89.7794
P-4,1.44,31.65,7.0,70.0,23.0,8.37,0.113,0.46,0.02,1.19,Pakuria,80,0.27,0.0039,7.776,24.04297222,89.05422222,23.6,89.7794
P-5,1.54,32.14,4.5,70.0,20.5,8.22,0.146,0.4,0.02,0.59,Pakuria,100,0.23,0.0035,7.084,24.04297222,89.05422222,23.6,89.7794
K-1,1.62,26.04,2.0,72.5,25.5,8.24,0.151,1.29,0.09,6.14,Khemirdiar,20,0.75,0.0122,24.3,24.07397222,88.99491667,23.8719,88.8197
K-2,1.65,23.46,2.0,67.5,30.5,8.35,0.134,0.79,0.04,3.17,Khemirdiar,40,0.46,0.0076,15.18,24.07397222,88.99491667,23.8719,88.8197
K-3,1.64,21.93,2.0,65.0,33.0,8.45,0.107,0.66,0.02,1.58,Khemirdiar,60,0.38,0.0062,12.464,24.07397222,88.99491667,23.8719,88.8197
K-4,1.52,19.07,29.5,52.5,18.0,8.42,0.08,0.53,0.02,1.0,Khemirdiar,80,0.31,0.0047,9.424,24.07397222,88.99491667,23.8719,88.8197
K-5,1.59,26.8,7.0,72.5,20.5,8.48,0.089,0.59,0.02,0.69,Khemirdiar,100,0.34,0.0054,10.812,24.07397222,88.99491667,23.8719,88.8197
M-1,1.54,31.25,14.5,62.5,23.0,7.86,0.124,0.86,0.09,6.44,Mokarimpur,20,0.5,0.0077,15.4,24.0745,89.01138889,23.7241,89.2729
M-2,1.55,29.48,17.0,62.5,20.5,7.79,0.101,0.63,0.03,2.38,Mokarimpur,40,0.36,0.0056,11.16,24.0745,89.01138889,23.7241,89.2729
M-3,1.62,29.17,52.0,27.5,20.5,8.24,0.071,0.56,0.02,1.68,Mokarimpur,60,0.33,0.0053,10.692,24.0745,89.01138889,23.7241,89.2729
M-4,1.65,28.84,19.5,50.0,30.5,8.32,0.102,0.53,0.02,1.39,Mokarimpur,80,0.31,0.0051,10.23,24.0745,89.01138889,23.7241,89.2729
M-5,1.5,33.86,15.0,57.0,28.0,8.84,0.152,0.69,0.02,0.89,Mokarimpur,100,0.4,0.006,12.0,24.0745,89.01138889,23.7241,89.2729
